,metro_area/city
0,"aberdeen, sd"
1,"aberdeen, wa"
2,"abilene, tx"
3,"ada, ok"
4,"adrian, mi"
5,"akron, oh"
6,"alamogordo, nm"
7,"albany, ga"
8,"albany, or"
9,"albany-schenectady-troy, ny"
10,"albemarle, nc"
11,"albert lea, mn"
12,"albertville, al"
13,"albuquerque, nm"
14,"alexandria, la"
15,"alexandria, mn"
16,"alice, tx"
17,"allentown-bethlehem-easton, pa-nj"
18,"alma, mi"
19,"alpena, mi"
20,"altoona, pa"
21,"altus, ok"
22,"amarillo, tx"
23,"americus, ga"
24,"ames, ia"
25,"amsterdam, ny"
26,"anchorage, ak"
27,"andrews, tx"
28,"angola, in"
29,"ann arbor, mi"
30,"anniston-oxford-jacksonville, al"
31,"appleton, wi"
32,"arcadia, fl"
33,"ardmore, ok"
34,"arkadelphia, ar"
35,"arkansas city-winfield, ks"
36,"asheville, nc"
37,"ashland, oh"
38,"ashtabula, oh"
39,"astoria, or"
40,"atchison, ks"
41,"athens, oh"
42,"athens, tn"
43,"athens, tx"
44,"athens-clarke county, ga"
45,"atlanta-sandy springs-roswell, ga"
46,"atlantic city-hammonton, nj"
47,"auburn, in"
48,"auburn, ny"
49,"auburn-opelika, al"
50,"augusta-richmond county, ga-sc"
51,"augusta-waterville, me"
52,"austin, mn"
53,"austin-round rock, tx"
54,"bainbridge, ga"
55,"bakersfield, ca"
56,"baltimore-columbia-towson, md"
57,"bangor, me"
58,"baraboo, wi"
59,"bardstown, ky"
60,"barnstable town, ma"
61,"barre, vt"
62,"bartlesville, ok"
63,"bastrop, la"
64,"batavia, ny"
65,"batesville, ar"
66,"baton rouge, la"
67,"battle creek, mi"
68,"bay city, mi"
69,"bay city, tx"
70,"beatrice, ne"
71,"beaumont-port arthur, tx"
72,"beaver dam, wi"
73,"beckley, wv"
74,"bedford, in"
75,"beeville, tx"
76,"bellefontaine, oh"
77,"bellingham, wa"
78,"bemidji, mn"
79,"bend-redmond, or"
80,"bennettsville, sc"
81,"bennington, vt"
82,"berlin, nh-vt"
83,"big rapids, mi"
84,"big spring, tx"
85,"big stone gap, va"
86,"billings, mt"
87,"binghamton, ny"
88,"birmingham-hoover, al"
89,"bismarck, nd"
90,"blackfoot, id"
91,"blacksburg-christiansburg-radford, va"
92,"bloomington, il"
93,"bloomington, in"
94,"bloomsburg-berwick, pa"
95,"bluefield, wv-va"
96,"blytheville, ar"
97,"bogalusa, la"
98,"boise city, id"
99,"boone, ia"
100,"boone, nc"
101,"borger, tx"
102,"boston-cambridge-newton, ma-nh"
103,"boulder, co"
104,"bowling green, ky"
105,"bozeman, mt"
106,"bradford, pa"
107,"brainerd, mn"
108,"branson, mo"
109,"breckenridge, co"
110,"bremerton-silverdale, wa"
111,"brenham, tx"
112,"brevard, nc"
113,"bridgeport-stamford-norwalk, ct"
114,"brookhaven, ms"
115,"brookings, or"
116,"brookings, sd"
117,"brownsville-harlingen, tx"
118,"brownwood, tx"
119,"brunswick, ga"
120,"bucyrus, oh"
121,"buffalo-cheektowaga-niagara falls, ny"
122,"burley, id"
123,"burlington, ia-il"
124,"burlington, nc"
125,"burlington-south burlington, vt"
126,"butte-silver bow, mt"
127,"cadillac, mi"
128,"calhoun, ga"
129,"california-lexington park, md"
130,"cambridge, md"
131,"cambridge, oh"
132,"camden, ar"
133,"campbellsville, ky"
134,"canton, il"
135,"canton-massillon, oh"
136,"cape coral-fort myers, fl"
137,"cape girardeau, mo-il"
138,"carbondale-marion, il"
139,"carlsbad-artesia, nm"
140,"carson city, nv"
141,"casper, wy"
142,"cañon city, co"
143,"cedar city, ut"
144,"cedar rapids, ia"
145,"cedartown, ga"
146,"celina, oh"
147,"centralia, il"
148,"centralia, wa"
149,"chambersburg-waynesboro, pa"
150,"champaign-urbana, il"
151,"charleston, wv"
152,"charleston-mattoon, il"
153,"charleston-north charleston, sc"
154,"charlotte-concord-gastonia, nc-sc"
155,"charlottesville, va"
156,"chattanooga, tn-ga"
157,"cheyenne, wy"
158,"chicago-naperville-elgin, il-in-wi"
159,"chico, ca"
160,"chillicothe, oh"
161,"cincinnati, oh-ky-in"
162,"claremont-lebanon, nh-vt"
163,"clarksburg, wv"
164,"clarksdale, ms"
165,"clarksville, tn-ky"
166,"clearlake, ca"
167,"cleveland, ms"
168,"cleveland, tn"
169,"cleveland-elyria, oh"
170,"clewiston, fl"
171,"clinton, ia"
172,"clovis, nm"
173,"coeur d'alene, id"
174,"coffeyville, ks"
175,"coldwater, mi"
176,"college station-bryan, tx"
177,"colorado springs, co"
178,"columbia, mo"
179,"columbia, sc"
180,"columbus, ga-al"
181,"columbus, in"
182,"columbus, ms"
183,"columbus, ne"
184,"columbus, oh"
185,"concord, nh"
186,"connersville, in"
187,"cookeville, tn"
188,"coos bay, or"
189,"cordele, ga"
190,"corinth, ms"
191,"cornelia, ga"
192,"corning, ny"
193,"corpus christi, tx"
194,"corsicana, tx"
195,"cortland, ny"
196,"corvallis, or"
197,"coshocton, oh"
198,"craig, co"
199,"crawfordsville, in"
200,"crescent city, ca"
201,"crestview-fort walton beach-destin, fl"
202,"crossville, tn"
203,"cullman, al"
204,"cullowhee, nc"
205,"cumberland, md-wv"
206,"dallas-fort worth-arlington, tx"
207,"dalton, ga"
208,"danville, il"
209,"danville, ky"
210,"danville, va"
211,"daphne-fairhope-foley, al"
212,"davenport-moline-rock island, ia-il"
213,"dayton, oh"
214,"dayton, tn"
215,"decatur, al"
216,"decatur, il"
217,"decatur, in"
218,"defiance, oh"
219,"del rio, tx"
220,"deltona-daytona beach-ormond beach, fl"
221,"deming, nm"
222,"denver-aurora-lakewood, co"
223,"deridder, la"
224,"des moines-west des moines, ia"
225,"detroit-warren-dearborn, mi"
226,"dickinson, nd"
227,"dixon, il"
228,"dodge city, ks"
229,"dothan, al"
230,"douglas, ga"
231,"dover, de"
232,"dublin, ga"
233,"dubois, pa"
234,"dubuque, ia"
235,"duluth, mn-wi"
236,"dumas, tx"
237,"duncan, ok"
238,"dunn, nc"
239,"durango, co"
240,"durant, ok"
241,"durham-chapel hill, nc"
242,"dyersburg, tn"
243,"eagle pass, tx"
244,"east stroudsburg, pa"
245,"easton, md"
246,"eau claire, wi"
247,"edwards, co"
248,"effingham, il"
249,"el campo, tx"
250,"el centro, ca"
251,"el dorado, ar"
252,"el paso, tx"
253,"elizabeth city, nc"
254,"elizabethtown-fort knox, ky"
255,"elk city, ok"
256,"elkhart-goshen, in"
257,"elkins, wv"
258,"elko, nv"
259,"ellensburg, wa"
260,"elmira, ny"
261,"emporia, ks"
262,"enid, ok"
263,"enterprise, al"
264,"erie, pa"
265,"escanaba, mi"
266,"espaòola, nm"
267,"eugene, or"
268,"eureka-arcata-fortuna, ca"
269,"evanston, wy"
270,"evansville, in-ky"
271,"fairbanks, ak"
272,"fairfield, ia"
273,"fairmont, wv"
274,"fallon, nv"
275,"fargo, nd-mn"
276,"faribault-northfield, mn"
277,"farmington, mo"
278,"farmington, nm"
279,"fayetteville, nc"
280,"fayetteville-springdale-rogers, ar-mo"
281,"fergus falls, mn"
282,"fernley, nv"
283,"findlay, oh"
284,"fitzgerald, ga"
285,"flagstaff, az"
286,"flint, mi"
287,"florence, sc"
288,"florence-muscle shoals, al"
289,"fond du lac, wi"
290,"forest city, nc"
291,"forrest city, ar"
292,"fort collins, co"
293,"fort dodge, ia"
294,"fort leonard wood, mo"
295,"fort madison-keokuk, ia-il-mo"
296,"fort morgan, co"
297,"fort polk south, la"
298,"fort smith, ar-ok"
299,"fort wayne, in"
300,"frankfort, in"
301,"frankfort, ky"
302,"fredericksburg, tx"
303,"freeport, il"
304,"fremont, ne"
305,"fremont, oh"
306,"fresno, ca"
307,"gadsden, al"
308,"gaffney, sc"
309,"gainesville, fl"
310,"gainesville, ga"
311,"gainesville, tx"
312,"galesburg, il"
313,"gallup, nm"
314,"garden city, ks"
315,"gardnerville ranchos, nv"
316,"georgetown, sc"
317,"gettysburg, pa"
318,"gillette, wy"
319,"glasgow, ky"
320,"glens falls, ny"
321,"glenwood springs, co"
322,"gloversville, ny"
323,"goldsboro, nc"
324,"grand forks, nd-mn"
325,"grand island, ne"
326,"grand junction, co"
327,"grand rapids-wyoming, mi"
328,"grants pass, or"
329,"grants, nm"
330,"great bend, ks"
331,"great falls, mt"
332,"greeley, co"
333,"green bay, wi"
334,"greeneville, tn"
335,"greenfield town, ma"
336,"greensboro-high point, nc"
337,"greensburg, in"
338,"greenville, ms"
339,"greenville, nc"
340,"greenville, oh"
341,"greenville-anderson-mauldin, sc"
342,"greenwood, ms"
343,"greenwood, sc"
344,"grenada, ms"
345,"gulfport-biloxi-pascagoula, ms"
346,"guymon, ok"
347,"hagerstown-martinsburg, md-wv"
348,"hailey, id"
349,"hammond, la"
350,"hanford-corcoran, ca"
351,"hannibal, mo"
352,"harrisburg-carlisle, pa"
353,"harrison, ar"
354,"harrisonburg, va"
355,"hartford-west hartford-east hartford, ct"
356,"hastings, ne"
357,"hattiesburg, ms"
358,"hays, ks"
359,"heber, ut"
360,"helena, mt"
361,"helena-west helena, ar"
362,"henderson, nc"
363,"hereford, tx"
364,"hermiston-pendleton, or"
365,"hickory-lenoir-morganton, nc"
366,"hillsdale, mi"
367,"hilo, hi"
368,"hilton head island-bluffton-beaufort, sc"
369,"hinesville, ga"
370,"hobbs, nm"
371,"holland, mi"
372,"homosassa springs, fl"
373,"hood river, or"
374,"hot springs, ar"
375,"houghton, mi"
376,"houma-thibodaux, la"
377,"houston-the woodlands-sugar land, tx"
378,"hudson, ny"
379,"huntingdon, pa"
380,"huntington, in"
381,"huntington-ashland, wv-ky-oh"
382,"huntsville, al"
383,"huntsville, tx"
384,"huron, sd"
385,"hutchinson, ks"
386,"hutchinson, mn"
387,"idaho falls, id"
388,"indiana, pa"
389,"indianapolis-carmel-anderson, in"
390,"indianola, ms"
391,"ionia, mi"
392,"iowa city, ia"
393,"iron mountain, mi-wi"
394,"ithaca, ny"
395,"jackson, mi"
396,"jackson, ms"
397,"jackson, oh"
398,"jackson, tn"
399,"jackson, wy-id"
400,"jacksonville, fl"
401,"jacksonville, il"
402,"jacksonville, nc"
403,"jacksonville, tx"
404,"jamestown, nd"
405,"jamestown-dunkirk-fredonia, ny"
406,"janesville-beloit, wi"
407,"jasper, in"
408,"jefferson city, mo"
409,"jefferson, ga"
410,"jesup, ga"
411,"johnson city, tn"
412,"johnstown, pa"
413,"jonesboro, ar"
414,"joplin, mo"
415,"junction city, ks"
416,"juneau, ak"
417,"kahului-wailuku-lahaina, hi"
418,"kalamazoo-portage, mi"
419,"kalispell, mt"
420,"kankakee, il"
421,"kansas city, mo-ks"
422,"kapaa, hi"
423,"kearney, ne"
424,"keene, nh"
425,"kendallville, in"
426,"kennett, mo"
427,"kennewick-richland, wa"
428,"kerrville, tx"
429,"ketchikan, ak"
430,"key west, fl"
431,"kill devil hills, nc"
432,"killeen-temple, tx"
433,"kingsport-bristol-bristol, tn-va"
434,"kingston, ny"
435,"kingsville, tx"
436,"kinston, nc"
437,"kirksville, mo"
438,"klamath falls, or"
439,"knoxville, tn"
440,"kokomo, in"
441,"la crosse-onalaska, wi-mn"
442,"la grande, or"
443,"laconia, nh"
444,"lafayette, la"
445,"lafayette-west lafayette, in"
446,"lagrange, ga"
447,"lake charles, la"
448,"lake city, fl"
449,"lake havasu city-kingman, az"
450,"lakeland-winter haven, fl"
451,"lamesa, tx"
452,"lancaster, pa"
453,"lansing-east lansing, mi"
454,"laramie, wy"
455,"laredo, tx"
456,"las cruces, nm"
457,"las vegas, nm"
458,"las vegas-henderson-paradise, nv"
459,"laurel, ms"
460,"laurinburg, nc"
461,"lawrence, ks"
462,"lawrenceburg, tn"
463,"lawton, ok"
464,"lebanon, mo"
465,"lebanon, pa"
466,"levelland, tx"
467,"lewisburg, pa"
468,"lewisburg, tn"
469,"lewiston, id-wa"
470,"lewiston-auburn, me"
471,"lewistown, pa"
472,"lexington, ne"
473,"lexington-fayette, ky"
474,"liberal, ks"
475,"lima, oh"
476,"lincoln, il"
477,"lincoln, ne"
478,"little rock-north little rock-conway, ar"
479,"lock haven, pa"
480,"logan, ut-id"
481,"logan, wv"
482,"logansport, in"
483,"london, ky"
484,"longview, tx"
485,"longview, wa"
486,"los alamos, nm"
487,"los angeles-long beach-anaheim, ca"
488,"louisville/jefferson county, ky-in"
489,"lubbock, tx"
490,"ludington, mi"
491,"lufkin, tx"
492,"lumberton, nc"
493,"lynchburg, va"
494,"macomb, il"
495,"macon, ga"
496,"madera, ca"
497,"madison, in"
498,"madison, wi"
499,"madisonville, ky"
500,"magnolia, ar"
501,"malone, ny"
502,"malvern, ar"
503,"manchester-nashua, nh"
504,"manhattan, ks"
505,"manitowoc, wi"
506,"mankato-north mankato, mn"
507,"mansfield, oh"
508,"marietta, oh"
509,"marinette, wi-mi"
510,"marion, in"
511,"marion, nc"
512,"marion, oh"
513,"marquette, mi"
514,"marshall, mn"
515,"marshall, mo"
516,"marshall, tx"
517,"marshalltown, ia"
518,"martin, tn"
519,"martinsville, va"
520,"maryville, mo"
521,"mason city, ia"
522,"mayfield, ky"
523,"maysville, ky"
524,"mcalester, ok"
525,"mcallen-edinburg-mission, tx"
526,"mccomb, ms"
527,"mcminnville, tn"
528,"mcpherson, ks"
529,"meadville, pa"
530,"medford, or"
531,"memphis, tn-ms-ar"
532,"menomonie, wi"
533,"merced, ca"
534,"meridian, ms"
535,"merrill, wi"
536,"mexico, mo"
537,"miami, ok"
538,"miami-fort lauderdale-west palm beach, fl"
539,"michigan city-la porte, in"
540,"middlesborough, ky"
541,"midland, mi"
542,"midland, tx"
543,"milledgeville, ga"
544,"milwaukee-waukesha-west allis, wi"
545,"mineral wells, tx"
546,"minneapolis-st. paul-bloomington, mn-wi"
547,"minot, nd"
548,"missoula, mt"
549,"mitchell, sd"
550,"moberly, mo"
551,"mobile, al"
552,"modesto, ca"
553,"monroe, la"
554,"monroe, mi"
555,"montgomery, al"
556,"montrose, co"
557,"morehead city, nc"
558,"morgan city, la"
559,"morgantown, wv"
560,"morristown, tn"
561,"moscow, id"
562,"moses lake, wa"
563,"moultrie, ga"
564,"mount airy, nc"
565,"mount pleasant, mi"
566,"mount pleasant, tx"
567,"mount sterling, ky"
568,"mount vernon, il"
569,"mount vernon, oh"
570,"mount vernon-anacortes, wa"
571,"mountain home, ar"
572,"mountain home, id"
573,"muncie, in"
574,"murray, ky"
575,"muscatine, ia"
576,"muskegon, mi"
577,"muskogee, ok"
578,"myrtle beach-conway-north myrtle beach, sc-nc"
579,"nacogdoches, tx"
580,"napa, ca"
581,"naples-immokalee-marco island, fl"
582,"nashville-davidson--murfreesboro--franklin, tn"
583,"natchez, ms-la"
584,"natchitoches, la"
585,"new bern, nc"
586,"new castle, in"
587,"new castle, pa"
588,"new haven-milford, ct"
589,"new orleans-metairie, la"
590,"new philadelphia-dover, oh"
591,"new ulm, mn"
592,"new york-newark-jersey city, ny-nj-pa"
593,"newberry, sc"
594,"newport, or"
595,"newport, tn"
596,"newton, ia"
597,"niles-benton harbor, mi"
598,"nogales, az"
599,"norfolk, ne"
600,"north platte, ne"
601,"north port-sarasota-bradenton, fl"
602,"north vernon, in"
603,"north wilkesboro, nc"
604,"norwalk, oh"
605,"norwich-new london, ct"
606,"oak harbor, wa"
607,"ocala, fl"
608,"ocean city, nj"
609,"odessa, tx"
610,"ogden-clearfield, ut"
611,"ogdensburg-massena, ny"
612,"oil city, pa"
613,"okeechobee, fl"
614,"oklahoma city, ok"
615,"olean, ny"
616,"olympia-tumwater, wa"
617,"omaha-council bluffs, ne-ia"
618,"oneonta, ny"
619,"ontario, or-id"
620,"opelousas, la"
621,"orangeburg, sc"
622,"orlando-kissimmee-sanford, fl"
623,"oshkosh-neenah, wi"
624,"oskaloosa, ia"
625,"othello, wa"
626,"ottawa, ks"
627,"ottawa-peru, il"
628,"ottumwa, ia"
629,"owatonna, mn"
630,"owensboro, ky"
631,"owosso, mi"
632,"oxford, ms"
633,"oxford, nc"
634,"oxnard-thousand oaks-ventura, ca"
635,"ozark, al"
636,"paducah, ky-il"
637,"pahrump, nv"
638,"palatka, fl"
639,"palestine, tx"
640,"palm bay-melbourne-titusville, fl"
641,"pampa, tx"
642,"panama city, fl"
643,"paragould, ar"
644,"paris, tn"
645,"paris, tx"
646,"parkersburg-vienna, wv"
647,"parsons, ks"
648,"payson, az"
649,"pecos, tx"
650,"pensacola-ferry pass-brent, fl"
651,"peoria, il"
652,"peru, in"
653,"philadelphia-camden-wilmington, pa-nj-de-md"
654,"phoenix-mesa-scottsdale, az"
655,"picayune, ms"
656,"pierre, sd"
657,"pine bluff, ar"
658,"pinehurst-southern pines, nc"
659,"pittsburg, ks"
660,"pittsburgh, pa"
661,"pittsfield, ma"
662,"plainview, tx"
663,"platteville, wi"
664,"plattsburgh, ny"
665,"plymouth, in"
666,"pocatello, id"
667,"point pleasant, wv-oh"
668,"ponca city, ok"
669,"pontiac, il"
670,"poplar bluff, mo"
671,"port angeles, wa"
672,"port clinton, oh"
673,"port lavaca, tx"
674,"port st. lucie, fl"
675,"portales, nm"
676,"portland-south portland, me"
677,"portland-vancouver-hillsboro, or-wa"
678,"portsmouth, oh"
679,"pottsville, pa"
680,"prescott, az"
681,"price, ut"
682,"prineville, or"
683,"providence-warwick, ri-ma"
684,"provo-orem, ut"
685,"pueblo, co"
686,"pullman, wa"
687,"punta gorda, fl"
688,"quincy, il-mo"
689,"racine, wi"
690,"raleigh, nc"
691,"rapid city, sd"
692,"raymondville, tx"
693,"reading, pa"
694,"red bluff, ca"
695,"red wing, mn"
696,"redding, ca"
697,"reno, nv"
698,"rexburg, id"
699,"richmond, in"
700,"richmond, va"
701,"richmond-berea, ky"
702,"rio grande city, tx"
703,"riverside-san bernardino-ontario, ca"
704,"riverton, wy"
705,"roanoke rapids, nc"
706,"roanoke, va"
707,"rochelle, il"
708,"rochester, mn"
709,"rochester, ny"
710,"rock springs, wy"
711,"rockford, il"
712,"rockingham, nc"
713,"rocky mount, nc"
714,"rolla, mo"
715,"rome, ga"
716,"roseburg, or"
717,"roswell, nm"
718,"russellville, ar"
719,"ruston, la"
720,"rutland, vt"
721,"sacramento--roseville--arden-arcade, ca"
722,"safford, az"
723,"saginaw, mi"
724,"salem, oh"
725,"salem, or"
726,"salina, ks"
727,"salinas, ca"
728,"salisbury, md-de"
729,"salt lake city, ut"
730,"san angelo, tx"
731,"san antonio-new braunfels, tx"
732,"san diego-carlsbad, ca"
733,"san francisco-oakland-hayward, ca"
734,"san jose-sunnyvale-santa clara, ca"
735,"san luis obispo-paso robles-arroyo grande, ca"
736,"sandpoint, id"
737,"sandusky, oh"
738,"sanford, nc"
739,"santa cruz-watsonville, ca"
740,"santa fe, nm"
741,"santa maria-santa barbara, ca"
742,"santa rosa, ca"
743,"sault ste. marie, mi"
744,"savannah, ga"
745,"sayre, pa"
746,"scottsbluff, ne"
747,"scottsboro, al"
748,"scranton--wilkes-barre--hazleton, pa"
749,"searcy, ar"
750,"seattle-tacoma-bellevue, wa"
751,"sebastian-vero beach, fl"
752,"sebring, fl"
753,"sedalia, mo"
754,"selinsgrove, pa"
755,"selma, al"
756,"seneca falls, ny"
757,"seneca, sc"
758,"sevierville, tn"
759,"seymour, in"
760,"shawano, wi"
761,"shawnee, ok"
762,"sheboygan, wi"
763,"shelby, nc"
764,"shelbyville, tn"
765,"shelton, wa"
766,"sheridan, wy"
767,"sherman-denison, tx"
768,"show low, az"
769,"shreveport-bossier city, la"
770,"sidney, oh"
771,"sierra vista-douglas, az"
772,"sikeston, mo"
773,"silver city, nm"
774,"sioux city, ia-ne-sd"
775,"sioux falls, sd"
776,"snyder, tx"
777,"somerset, ky"
778,"somerset, pa"
779,"sonora, ca"
780,"south bend-mishawaka, in-mi"
781,"spartanburg, sc"
782,"spearfish, sd"
783,"spencer, ia"
784,"spirit lake, ia"
785,"spokane-spokane valley, wa"
786,"springfield, il"
787,"springfield, ma"
788,"springfield, mo"
789,"springfield, oh"
790,"st. cloud, mn"
791,"st. george, ut"
792,"st. joseph, mo-ks"
793,"st. louis, mo-il"
794,"st. marys, ga"
795,"starkville, ms"
796,"state college, pa"
797,"statesboro, ga"
798,"staunton-waynesboro, va"
799,"steamboat springs, co"
800,"stephenville, tx"
801,"sterling, co"
802,"sterling, il"
803,"stevens point, wi"
804,"stillwater, ok"
805,"stockton-lodi, ca"
806,"storm lake, ia"
807,"sturgis, mi"
808,"sulphur springs, tx"
809,"summerville, ga"
810,"summit park, ut"
811,"sumter, sc"
812,"sunbury, pa"
813,"susanville, ca"
814,"sweetwater, tx"
815,"syracuse, ny"
816,"tahlequah, ok"
817,"talladega-sylacauga, al"
818,"tallahassee, fl"
819,"tampa-st. petersburg-clearwater, fl"
820,"taos, nm"
821,"taylorville, il"
822,"terre haute, in"
823,"texarkana, tx-ar"
824,"the dalles, or"
825,"the villages, fl"
826,"thomaston, ga"
827,"thomasville, ga"
828,"tiffin, oh"
829,"tifton, ga"
830,"toccoa, ga"
831,"toledo, oh"
832,"topeka, ks"
833,"torrington, ct"
834,"traverse city, mi"
835,"trenton, nj"
836,"troy, al"
837,"truckee-grass valley, ca"
838,"tucson, az"
839,"tullahoma-manchester, tn"
840,"tulsa, ok"
841,"tupelo, ms"
842,"tuscaloosa, al"
843,"twin falls, id"
844,"tyler, tx"
845,"ukiah, ca"
846,"union city, tn-ky"
847,"urban honolulu, hi"
848,"urbana, oh"
849,"utica-rome, ny"
850,"uvalde, tx"
851,"valdosta, ga"
852,"vallejo-fairfield, ca"
853,"valley, al"
854,"van wert, oh"
855,"vermillion, sd"
856,"vernal, ut"
857,"vernon, tx"
858,"vicksburg, ms"
859,"victoria, tx"
860,"vidalia, ga"
861,"vincennes, in"
862,"vineland-bridgeton, nj"
863,"vineyard haven, ma"
864,"virginia beach-norfolk-newport news, va-nc"
865,"visalia-porterville, ca"
866,"wabash, in"
867,"waco, tx"
868,"wahpeton, nd-mn"
869,"walla walla, wa"
870,"wapakoneta, oh"
871,"warner robins, ga"
872,"warren, pa"
873,"warrensburg, mo"
874,"warsaw, in"
875,"washington court house, oh"
876,"washington, in"
877,"washington, nc"
878,"washington-arlington-alexandria, dc-va-md-wv"
879,"waterloo-cedar falls, ia"
880,"watertown, sd"
881,"watertown-fort atkinson, wi"
882,"watertown-fort drum, ny"
883,"wauchula, fl"
884,"wausau, wi"
885,"waycross, ga"
886,"weatherford, ok"
887,"weirton-steubenville, wv-oh"
888,"wenatchee, wa"
889,"west plains, mo"
890,"wheeling, wv-oh"
891,"whitewater-elkhorn, wi"
892,"wichita falls, tx"
893,"wichita, ks"
894,"williamsport, pa"
895,"williston, nd"
896,"willmar, mn"
897,"wilmington, nc"
898,"wilmington, oh"
899,"wilson, nc"
900,"winchester, va-wv"
901,"winnemucca, nv"
902,"winona, mn"
903,"winston-salem, nc"
904,"wisconsin rapids-marshfield, wi"
905,"woodward, ok"
906,"wooster, oh"
907,"worcester, ma-ct"
908,"worthington, mn"
909,"yakima, wa"
910,"yankton, sd"
911,"york-hanover, pa"
912,"youngstown-warren-boardman, oh-pa"
913,"yuba city, ca"
914,"yuma, az"
915,"zanesville, oh"
916,"zapata, tx"
